path,title,created-on,last-modified
https://www.zu.ac.ae/main/files/contents/alumni/images/wherearethey.png/wherearethey.png,wherearethey.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/wherearethey.png/ayesha_alsaadi.png,ayesha_alsaadi.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/wherearethey.png/lolowa.jpg,lolowa.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/wherearethey.png/may_altaei.jpg,may_altaei.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/wherearethey.png/enrollment_sign.png,enrollment_sign.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/wherearethey.png/cur_center.png,cur_center.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/arwa_alnauimi.png,arwa_alnauimi.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/aab_dxb_28092011.jpg,aab_dxb_28092011.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/books_audit.jpg,books_audit.jpg,7/6/2015 8:28,10/4/2015 7:57
https://www.zu.ac.ae/main/files/contents/alumni/images/bushra_al_roken.png,bushra_al_roken.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/twitter.jpg,Follow us!,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/ziebart_eng.jpg,ziebart_eng.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/ziebart_arb.jpg,ziebart_arb.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/pure_gold_eng.jpg,pure_gold_eng.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/majid_eng.jpg,majid_eng.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/silkor3_eng.png,silkor3_eng.png,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/pure_gold_arb.jpg,pure_gold_arb.jpg,7/6/2015 8:28,7/6/2015 8:28
https://www.zu.ac.ae/main/files/contents/alumni/images/discount/bedshop.jpg,bedshop.jpg,7/6/2015 8:28,7/6/2015 8:28
