path,title,summary,created-on,last-modified
https://www.zu.ac.ae/main/en/news/2021/April/nexgen,"Zayed University Partners With IBM, Microsoft And SAP University to Boost Student Creativity and Employability","A state-of-the-art innovation workspace 'The NextGen Center' was recently inaugurated by H.E. Noura bint Mohammed Al Kaabi, Minister of Culture and Youth, President of Zayed University (ZU), at the ZU Campus in Dubai. The Center aims to provide students the opportunity to connect and co-innovate with global industry leaders.",nan,nan
https://www.zu.ac.ae/main/en/news/2021/March/eycf,ZU Student Lands 1st Place at the EY Corporate Finance Woman of the Year Awards,"Zayed University (ZU) student, Shama Al Hosani, has been recently named the winner of the Ernst & Young's (EY) Corporate Finance Woman of the Year (CWFY) award for the UAE, following a confront with seven shortlisted finalists from across the country. ",nan,nan
https://www.zu.ac.ae/main/en/news/2021/March/fstar,Zayed University Wins 2 awards in the assessment of the Global Star Rating Systems for Services (GSRR),"Zayed University has recently won 2 out of 4 service delivery channels awards, during its first participation in the assessment of the Global Star Rating Systems for Services (GSRR). ",nan,nan
https://www.zu.ac.ae/main/en/news/2021/March/dmi-press,Internationally recognized Digital Marketing Certification for Zayed University business students,Zayed University and the Digital Marketing Institute (DMI) have announced a new partnership that integrates DMI's industry leading digital marketing certifications into the Digital Marketing and Commerce course in the College of Business at Zayed University. ,nan,nan
https://www.zu.ac.ae/main/en/news/2021/March/LDE2021,Zayed University celebrates learning diversity,The Department of Student Accessibility Services (SAS) at Zayed University (ZU) has recently organized an online event under the theme of 'Celebrate Learning Diversity'.,nan,nan
https://www.zu.ac.ae/main/en/news/2021/March/uc-blend,Zayed University Council holds 2nd meeting for 2021,"Led by Her Excellency Noura bint Mohammed Al Kaabi, Minister of Culture and Youth, President of Zayed University (ZU), members of the Zayed University Council held their second meeting of 2021 to review several topics on the Council's agenda.",nan,nan
https://www.zu.ac.ae/main/en/news/2021/February/showCACE-feb21,Zayed University Graduates showCACE Arts Exhibition in Abu Dhabi,"Zayed University (ZU) has recently disclosed the latest edition of the showCACE 2020 Senior Exhibition showcasing 52 projects, covering the four majors in the College of Arts and Creative Enterprises (CACE): visual arts, interior design, animation design and graphic design. The exhibition is currently being held at Manarat Al Saadiyat in Abu Dhabi until March 19th 2021.",nan,nan
https://www.zu.ac.ae/main/en/news/2021/January/takalam,"Zayed University's First Incubated Startup, Takalam, Wins Enterprise Agility Award by Entrepreneur Middle East ","Health-tech start-up Takalam, an online counseling platform for mental well-being, recently won the Wellness Platform of The Year Award by Entrepreneur Middle East. This annual award series recognizes businesses and individuals across the Middle East that have established themselves as clear industry innovators. ",nan,nan
https://www.zu.ac.ae/main/en/news/index,Current News,nan,nan,nan
https://www.zu.ac.ae/main/en/news/index,Current News,nan,nan,nan
https://www.zu.ac.ae/main/en/news/success-stories/index,Success Stories,nan,nan,nan
https://www.zu.ac.ae/main/en/news/2020/December/aab,Noura Al Kaabi Welcomes New Zayed University Alumni Association Board Members ,"Zayed University welcomed new 32 members to The Zayed University (ZU) Alumni Association Board for the 2020-2023 academic years in a recent online ceremony held under the patronage and attendance of Her Excellency Noura bint Mohammed Al Kaabi, Minister of Culture and Youth and President of Zayed University.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/mex-emb,Zayed University and the Mexican Embassy discuss ways of cooperation in the cultural and academic fields,"Zayed University held a virtual meeting with the Mexican Embassy, in the presence of Her Excellency Noura bint Mohammed Al Kaabi, Minister of Culture and Youth, President of Zayed University, and Her Excellency Francisca E. Méndez Escobar, Ambassador of Mexico to the country, to discuss ways of future cooperation and partnerships in the cultural and academic fields.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/taec2020,Zayed University's 3rd Annual Education Conference Scheduled to Explore the Next 50 Years in Education,"In partnership with the Ministry of Education and Arab Thought Foundation, Zayed University will be hosting the 3rd annual Education Conference, themed “Zayed’s Legacy: the next 50 years start now” which will be held online on Monday, November 9th, and will be attended by Ministers and a number of international educational experts.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/flagday2020,Zayed University Celebrates the UAE Flag Day,"Zayed University celebrated the UAE Flag Day on both campuses in Abu Dhabi and Dubai, commemorating the accession of His Highness Sheikh Khalifa Bin Zayed Al-Nahyan as the president of the UAE.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/craft-hawai,Zayed University Students Share Experience of Craft Workshop in Hawaii,"Zayed University (ZU) Students from the College of Arts and Creative Enterprises (CACE) have virtually shared their overseas visit to the Island of Oahu, which was part of an exchange meeting with students from the University of Hawaii at Manoa, and presented their take on the new culture and craft workshops.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/taec,Experts Discuss the Next Five Decades in Education to Meet UAE Centennial Objectives,"Zayed University virtually held the 3rd annual Education Conference ""Zayed's Legacy: the next 50 years start now"" hosting over 500 education experts to address and explore the future of education over the next 5 decades for the UAE Centennial 2071 Objectives. The conference was organized in collaboration between Zayed University's College of Education, UAE Ministry of Education and the Arab Thought Foundation.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/aastm,"Academic Collaboration in Cultural Heritage between Zayed University and the Arab Academy for Science, Technology and Maritime Transport in Egypt","Zayed University held virtually a webinar session organized by the College of Humanities and Social Sciences at Zayed University and the College of Archeology and Cultural Heritage at the Arab Academy for Science, Technology and Maritime Transport in Egypt to discuss ways of cooperation between the two universities in the fields of culture and heritage.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/November/emp-opp,Zayed University Offers Employment Opportunities to 840 Graduates and Students through a Virtual Career Fair ,"""Gateway to Career Opportunities"" was the theme of the first virtual career fair for the new academic year 2020/2021 organized by the Students Career and Alumni Department at Zayed University (ZU), with the aim of supporting Emiratization and providing employment opportunities for university students and graduates and helping them build their career options on practical grounds.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/October/wmhd2020,Zayed University Indorses the Importance of Mental Health,"Zayed University raised awareness about the importance of mental health through a series of virtual activities and workshops titled ""Your Mental Health Matters"" coinciding with the World Mental Health Day 2020, under the theme ""Mental Health for All: Greater Investment - Greater Access.""",nan,nan
https://www.zu.ac.ae/main/en/news/2020/September/times-higher,Zayed University Lands the Times Higher Education 2021 World University Rankings,"Zayed University, a national and regional leader of educational innovation, has been recently listed, for the very first time, in the 2021 Times Higher Education (THE) World University Rankings, which is an annual ranking of higher education institutions globally. ",nan,nan
https://www.zu.ac.ae/main/en/news/2020/August/vgrad20,"Her Highness Sheikha Fatima bint Mubarak, Patron of Zayed University Applauds Graduates at 2020 Virtual Commencement Ceremony","Under the patronage of Her Highness Sheikha Fatima bint Mubarak, Chairwoman of the General Women's Union, President of the Supreme Council for Motherhood and Childhood, and Supreme Chairwoman of the Family Development Foundation, Zayed University held its very first ""virtual"" graduation ceremony, to honor undergraduates and graduates of the 18th cohort of female and the 8th cohort of males.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/August/hybrid20,"Zayed University Switches to Hybrid Model of Teaching, Learning for Fall 2020 Semester","Preparations are in full swing at Zayed University’s (ZU) campuses in Abu Dhabi and Dubai to implement a hybrid education model for the Fall 2020 semester. The ""hybrid"" (or ""blended"") education model aims to enable teaching and learning to continue both online and partially on campus, amid the COVID-19 pandemic. ",nan,nan
https://www.zu.ac.ae/main/en/news/2020/August/donors20,Zayed University Continues to Demonstrate Steadfast Growth Year on Year:  Her Excellency Noura Al Kaabi,"Her Excellency Noura Al Kaabi, Minister of Culture and Youth and President of Zayed University, commended the organizations and entities for their support to the University's exceptional achievements in the field of higher education, and played a significant role in supporting (ZU) students during the academic year of 2019/2020.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/June/prep-stu,Institutes Partner to Prepare University Students and Graduates for  Market of the Future,"Zayed University (ZU) and the Abdulla Al Ghurair Foundation for Education (AGFE), have virtually signed a Memorandum of Understanding to support young Emiratis and Arab youth along their education and early employment journeys.",nan,nan
https://www.zu.ac.ae/main/en/news/2020/June/uc-jul-20,University Council holds its second meeting for 2020,"Members of the Zayed University Council virtually met online and attended their second meeting for the 2019-2020 Academic year. The meeting was led by Her Excellency Noura bint Mohammed Al Kaabi, Minister of Culture and Knowledge Development, President of Zayed University, to review several topics on their agenda.",nan,nan
